"id","parte","tema","modulo","titulo","descripcion","pdf_origen","pagina_origen","tipo_visual","archivo_original","archivo_recortado","archivo_web","versiones_adicionales","texto_alternativo","epigrafe","consigna_observacion","estado","notas_revision","fecha_actualizacion"
"p01-m03-img01","1","Parte 1","3","Palo rosa en tres escalas","Composición del árbol, su floración y el aspecto de la madera.","10_origen_aceites.pdf","19","composición fotográfica","parte-01-la-gota/modulo-03/01_originales/p01-m03-img01-palo-rosa-original.jpg","parte-01-la-gota/modulo-03/02_recortes/p01-m03-img01-palo-rosa-recorte.jpg","parte-01-la-gota/modulo-03/03_web/p01-m03-img01-palo-rosa-web.webp","","Composición con el árbol, la floración y la madera de palo rosa.","Una identidad botánica puede reunir formas y tejidos diferentes.","Recorrer la imagen desde el árbol completo hasta el detalle de la madera.","Publicada","Se retiró el texto de la diapositiva y se conservó la composición visual.","2026-08-18"
"p01-m04-img01","1","Parte 1","4","Frascos y flores","Dos frascos pequeños acompañados por flores blancas.","11_tipos_aceites.pdf","58","fotografía de producto","parte-01-la-gota/modulo-04/01_originales/p01-m04-img01-frascos-precaucion-original.jpg","parte-01-la-gota/modulo-04/02_recortes/p01-m04-img01-frascos-precaucion-recorte.jpg","parte-01-la-gota/modulo-04/03_web/p01-m04-img01-frascos-precaucion-web.webp","","Dos frascos pequeños de color ámbar junto a flores blancas.","El tamaño del frasco invita a trabajar con moderación y control.","Relacionar el pequeño volumen con la necesidad de medir y registrar.","Publicada","Se aisló la fotografía y se retiró el texto de la diapositiva.","2026-08-18"
"p02-m01-img01","2","Parte 2","5","Tres patrones de nervaduras","Comparación de hojas con nervaduras retinervada, paralela y pinnada.","02_anatomia_vegetal.pdf","4","diagrama botánico","parte-02-leer-planta/modulo-05/01_originales/p02-m01-img01-nervaduras-original.jpg","parte-02-leer-planta/modulo-05/02_recortes/p02-m01-img01-nervaduras-recorte.jpg","parte-02-leer-planta/modulo-05/03_web/p02-m01-img01-nervaduras-web.webp","","Comparación de hojas con nervadura retinervada, paralela y pinnada.","Las líneas de la hoja funcionan como una primera pista de identificación.","Seguir las líneas internas antes de observar el contorno de cada hoja.","Publicada","Se aisló el esquema y se eliminaron encabezado y márgenes.","2026-08-20"
"p02-m02-img01","2","Parte 2","6","Anatomía de un hesperidio","Corte de un fruto cítrico y vista exterior de la cáscara.","02_anatomia_vegetal.pdf","41","composición fotográfica","parte-02-leer-planta/modulo-06/01_originales/p02-m02-img01-hesperidio-original.jpg","parte-02-leer-planta/modulo-06/02_recortes/p02-m02-img01-hesperidio-recorte.jpg","parte-02-leer-planta/modulo-06/03_web/p02-m02-img01-hesperidio-web.webp","","Corte de un cítrico donde se distinguen la cáscara y los gajos.","En los cítricos, mirar la cáscara por capas permite localizar la zona aromática.","Distinguir la superficie coloreada, la zona blanca y los gajos.","Publicada","Se conservó la composición útil y se retiró el texto de la diapositiva.","2026-08-20"
"p02-m03-img01","2","Parte 2","7","Nombres comunes y botánicos","Tabla que relaciona denominaciones cotidianas con nombres botánicos.","08_tecnicas_separacion.pdf","2","tabla documental","parte-02-leer-planta/modulo-07/01_originales/p02-m03-img01-tabla-nombres-original.jpg","parte-02-leer-planta/modulo-07/02_recortes/p02-m03-img01-tabla-nombres-recorte.jpg","parte-02-leer-planta/modulo-07/03_web/p02-m03-img01-tabla-nombres-web.webp","","Tabla con nombres comunes y nombres botánicos de varias plantas.","Un registro útil conserva el nombre cotidiano y lo acompaña con una identificación botánica.","Comparar por filas la forma de escribir ambos sistemas de nombres.","Publicada","Se recortó la tabla completa para conservar sus relaciones.","2026-08-20"
"p02-m04-img01","2","Parte 2","8","Pliego de herbario montado","Ejemplar vegetal seco fijado sobre un pliego de herbario.","04_herbario.pdf","25","fotografía documental","parte-02-leer-planta/modulo-08/01_originales/p02-m04-img01-pliego-herbario-original.jpg","parte-02-leer-planta/modulo-08/02_recortes/p02-m04-img01-pliego-herbario-recorte.jpg","parte-02-leer-planta/modulo-08/03_web/p02-m04-img01-pliego-herbario-web.webp","","Ejemplar vegetal seco montado sobre un pliego de herbario.","El montaje deja visibles las estructuras y reúne la muestra con su información.","Revisar la ubicación del ejemplar y los puntos donde fue fijado.","Publicada","Se aisló el pliego completo y se retiraron los márgenes de la página.","2026-08-20"
"p03-m01-img01","3","Parte 3","9","Macetas con y sin acolchado","Comparación reconstruida de dos macetas con la superficie expuesta o protegida.","05_labores_culturales.pdf","9","visual reconstruido","parte-03-cultivo/modulo-09/01_originales/p03-m01-img01-acolchado-original.jpg","parte-03-cultivo/modulo-09/02_recortes/p03-m01-img01-acolchado-recorte.svg","parte-03-cultivo/modulo-09/03_web/p03-m01-img01-acolchado-web.svg","","Dos macetas iguales: una con el suelo expuesto y otra con una capa de acolchado.","Cubrir el suelo modifica la velocidad con la que pierde humedad.","Comparar el recorrido del agua y la aparición de malas hierbas en ambas superficies.","Publicada","Visual reconstruido únicamente con las relaciones descritas en la fuente.","2026-08-22"
"p03-m02-img01","3","Parte 3","10","Cortes con tijeras de paso y de yunque","Comparación fotográfica del daño visible en la corteza según la herramienta.","06_tecnicas_poda.pdf","17","comparación fotográfica","parte-03-cultivo/modulo-10/01_originales/p03-m02-img01-cortes-tijeras-original.jpg","parte-03-cultivo/modulo-10/02_recortes/p03-m02-img01-cortes-tijeras-recorte.jpg","parte-03-cultivo/modulo-10/03_web/p03-m02-img01-cortes-tijeras-web.webp","","Dos pares de ramas cortadas: arriba con tijera de paso y abajo con tijera de yunque.","Arriba, el corte de paso; abajo, el corte de yunque y la corteza más comprimida.","Comparar la limpieza del borde y la compresión de la corteza.","Publicada","Se aisló la comparación y se retiraron el texto y el fondo de la diapositiva.","2026-08-22"
"p03-m03-img01","3","Parte 3","11","Diagnóstico del cultivo","Tres recorridos visuales para distinguir plaga, enfermedad y trastorno.","05_labores_culturales.pdf","15","visual reconstruido","parte-03-cultivo/modulo-11/01_originales/p03-m03-img01-diagnostico-cultivo-original.jpg","parte-03-cultivo/modulo-11/02_recortes/p03-m03-img01-diagnostico-cultivo-recorte.svg","parte-03-cultivo/modulo-11/03_web/p03-m03-img01-diagnostico-cultivo-web.svg","","Tres columnas separan plagas, enfermedades y trastornos según su origen.","Antes de tratar, hay que decidir qué tipo de problema se está observando.","Relacionar organismos, agentes de enfermedad y condiciones de manejo con cada recorrido.","Publicada","Visual reconstruido únicamente con la clasificación y los ejemplos de la fuente.","2026-08-22"
"p03-m04-img01","3","Parte 3","12","Secador solar","Esquema de circulación del aire caliente por un secador solar.","05_labores_culturales.pdf","34","diagrama técnico","parte-03-cultivo/modulo-12/01_originales/p03-m04-img01-secador-solar-original.jpg","parte-03-cultivo/modulo-12/02_recortes/p03-m04-img01-secador-solar-recorte.jpg","parte-03-cultivo/modulo-12/03_web/p03-m04-img01-secador-solar-web.webp","","Secador solar con rampa de entrada, piedras, bandejas y tubos para colgar hierbas.","El aire calentado asciende y atraviesa el material distribuido en bandejas.","Seguir el aire desde la rampa hasta las bandejas e identificar la función de las piedras.","Publicada","Se aisló el esquema técnico y se eliminó el texto general de la diapositiva.","2026-08-22"
"p04-m01-img01","4","Parte 4","13","Puesto seguro de destilación","Controles reconstruidos de un puesto antes del encendido.","07_seguridad_laboratorio.pdf | 11_tipos_aceites.pdf","3-4 | 61","visual reconstruido","parte-04-extraccion/modulo-13/01_originales/p04-m01-img01-puesto-seguro-original.svg","parte-04-extraccion/modulo-13/02_recortes/p04-m01-img01-puesto-seguro-recorte.svg","parte-04-extraccion/modulo-13/03_web/p04-m01-img01-puesto-seguro-web.svg","","Diagrama de un puesto de destilación con protección, montaje firme, superficie libre y aceite lejos del calor.","Un puesto seguro separa el calor, el material inflamable y la circulación.","Seguir los cuatro controles antes de encender.","Publicada","Visual reconstruido con las reglas de las fuentes.","2026-08-22"
"p04-m02-img01","4","Parte 4","14","Equilibrio entre líquido y vapor","Moléculas que evaporan y condensan entre dos fases.","04_herbario.pdf","41-42","visual reconstruido","parte-04-extraccion/modulo-14/01_originales/p04-m02-img01-equilibrio-vapor-original.svg","parte-04-extraccion/modulo-14/02_recortes/p04-m02-img01-equilibrio-vapor-recorte.svg","parte-04-extraccion/modulo-14/03_web/p04-m02-img01-equilibrio-vapor-web.svg","","Moléculas pasan de la fase líquida a la de vapor y regresan.","La presión de vapor aparece en un equilibrio dinámico.","Comparar evaporación y condensación.","Publicada","Relación reconstruida desde el esquema fuente.","2026-08-22"
"p04-m03-img01","4","Parte 4","15","Mapa de separaciones","Propiedades conectadas con métodos físicos de separación.","08_tecnicas_separacion.pdf","22-34","visual reconstruido","parte-04-extraccion/modulo-15/01_originales/p04-m03-img01-mapa-separaciones-original.svg","parte-04-extraccion/modulo-15/02_recortes/p04-m03-img01-mapa-separaciones-recorte.svg","parte-04-extraccion/modulo-15/03_web/p04-m03-img01-mapa-separaciones-web.svg","","Mapa de tamaño, densidad, magnetismo y ebullición con sus métodos de separación.","El método se elige por la propiedad que distingue los componentes.","Recorrer del método a la propiedad.","Publicada","Síntesis reconstruida de los métodos listados.","2026-08-22"
"p04-m04-img01","4","Parte 4","16","Recorrido por el alambique","Balón, cabezal, refrigerante y colector.","09_extraccion_aceites.pdf","8-12","visual reconstruido","parte-04-extraccion/modulo-16/01_originales/p04-m04-img01-recorrido-alambique-original.svg","parte-04-extraccion/modulo-16/02_recortes/p04-m04-img01-recorrido-alambique-recorte.svg","parte-04-extraccion/modulo-16/03_web/p04-m04-img01-recorrido-alambique-web.svg","","El vapor sale del balón, atraviesa el refrigerante y llega al colector.","El calor libera el vapor y el refrigerante lo devuelve a líquido.","Seguir las corrientes de vapor y agua.","Publicada","Montaje simplificado sin alterar sus piezas.","2026-08-22"
"p04-m05-img01","4","Parte 4","17","Tres destilaciones","Comparación de simple, fraccionada y al vacío.","09_extraccion_aceites.pdf","16-28","visual reconstruido","parte-04-extraccion/modulo-17/01_originales/p04-m05-img01-tres-destilaciones-original.svg","parte-04-extraccion/modulo-17/02_recortes/p04-m05-img01-tres-destilaciones-recorte.svg","parte-04-extraccion/modulo-17/03_web/p04-m05-img01-tres-destilaciones-web.svg","","Tres montajes: simple, con columna de fraccionamiento y conectado al vacío.","Una pieza distintiva revela el propósito de cada montaje.","Identificar columna y conexión de vacío.","Publicada","Comparación reconstruida desde los montajes fuente.","2026-08-22"
"p04-m06-img01","4","Parte 4","18","Métodos alternativos","Comparación de vapor, disolventes, CO2 y prensado.","09_extraccion_aceites.pdf | 10_origen_aceites.pdf","29-35 | 9-10","visual reconstruido","parte-04-extraccion/modulo-18/01_originales/p04-m06-img01-metodos-alternativos-original.svg","parte-04-extraccion/modulo-18/02_recortes/p04-m06-img01-metodos-alternativos-recorte.svg","parte-04-extraccion/modulo-18/03_web/p04-m06-img01-metodos-alternativos-web.svg","","Cuatro columnas comparan vapor, disolventes, CO2 supercrítico y prensado.","Cada método equilibra temperatura, pureza, costo y equipo.","Encontrar el método de baja temperatura y alto costo.","Publicada","Tabla reconstruida solo con relaciones de las fuentes.","2026-08-22"
"p04-m07-img01","4","Parte 4","19","Cálculo del rendimiento","Conversión de volumen a masa y cálculo porcentual.","10_origen_aceites.pdf","15-17","visual reconstruido","parte-04-extraccion/modulo-19/01_originales/p04-m07-img01-rendimiento-original.svg","parte-04-extraccion/modulo-19/02_recortes/p04-m07-img01-rendimiento-recorte.svg","parte-04-extraccion/modulo-19/03_web/p04-m07-img01-rendimiento-web.svg","","Dos fórmulas convierten mililitros a gramos y luego a porcentaje de rendimiento.","Primero se convierte el volumen; después se compara la masa.","Seguir las unidades en los dos pasos.","Publicada","Fórmulas reconstruidas con el ejemplo fuente.","2026-08-22"
"p05-m01-img01","5","Parte 5","20","Familias aromáticas","Relación entre isopreno, terpenoides y grupos funcionales.","10_origen_aceites.pdf","28-34","visual reconstruido","parte-05-formulacion/modulo-20/01_originales/p05-m01-img01-familias-aromaticas-original.svg","parte-05-formulacion/modulo-20/02_recortes/p05-m01-img01-familias-aromaticas-recorte.svg","parte-05-formulacion/modulo-20/03_web/p05-m01-img01-familias-aromaticas-web.svg","","Unidades de isopreno conectadas con monoterpenoides, sesquiterpenoides y grupos funcionales.","Una unidad básica participa en estructuras aromáticas diversas.","Comparar estructuras de diez y quince carbonos.","Publicada","Visual reconstruido con relaciones de la fuente.","2026-08-22"
"p05-m02-img01","5","Parte 5","21","Cromatograma","Picos separados en el tiempo después del paso por la columna.","10_origen_aceites.pdf","36-56","visual reconstruido","parte-05-formulacion/modulo-21/01_originales/p05-m02-img01-cromatograma-original.svg","parte-05-formulacion/modulo-21/02_recortes/p05-m02-img01-cromatograma-recorte.svg","parte-05-formulacion/modulo-21/03_web/p05-m02-img01-cromatograma-web.svg","","Gráfico con tres picos que representan componentes detectados en momentos distintos.","Cada componente aparece como un pico en un tiempo propio.","Distinguir posición y altura de los picos.","Publicada","Síntesis del cromatograma fuente.","2026-08-22"
"p05-m03-img01","5","Parte 5","22","Conservación comparada","Dos frascos bajo condiciones correctas e incorrectas.","10_origen_aceites.pdf | 11_tipos_aceites.pdf","10:8,13-14 | 11:55-57","visual reconstruido","parte-05-formulacion/modulo-22/01_originales/p05-m03-img01-conservacion-original.svg","parte-05-formulacion/modulo-22/02_recortes/p05-m03-img01-conservacion-recorte.svg","parte-05-formulacion/modulo-22/03_web/p05-m03-img01-conservacion-web.svg","","Un frasco oscuro, cerrado y rotulado frente a otro abierto, húmedo y expuesto a luz.","El envase y el entorno forman parte de la calidad.","Localizar tres errores de conservación.","Publicada","Visual reconstruido desde las reglas de almacenamiento.","2026-08-22"
"p05-m04-img01","5","Parte 5","23","Escala de dilución","Rangos de gotas para 15, 30 y 60 ml.","11_tipos_aceites.pdf","52-54","visual reconstruido","parte-05-formulacion/modulo-23/01_originales/p05-m04-img01-diluciones-original.svg","parte-05-formulacion/modulo-23/02_recortes/p05-m04-img01-diluciones-recorte.svg","parte-05-formulacion/modulo-23/03_web/p05-m04-img01-diluciones-web.svg","","Tres recipientes de 15, 30 y 60 ml con rangos de 3 a 5, 7 a 10 y 15 a 20 gotas.","La cantidad aromática aumenta con el volumen del vehículo.","Deducir un rango para 45 ml.","Publicada","Proporciones reconstruidas sin agregar equivalencias.","2026-08-22"
"p05-m05-img01","5","Parte 5","24","Ruta olfativa","Secuencia desde moléculas aromáticas hasta el sistema límbico.","12_aromaterapia_sensorial.pdf","5-11","visual reconstruido","parte-05-formulacion/modulo-24/01_originales/p05-m05-img01-ruta-olfativa-original.svg","parte-05-formulacion/modulo-24/02_recortes/p05-m05-img01-ruta-olfativa-recorte.svg","parte-05-formulacion/modulo-24/03_web/p05-m05-img01-ruta-olfativa-web.svg","","Moléculas aromáticas pasan por nervios olfativos hacia el sistema límbico.","El estímulo aromático se transforma en impulso nervioso.","Seguir el cambio desde molécula a señal.","Publicada","Ruta simplificada desde las estructuras descritas.","2026-08-22"
"p05-m06-img01","5","Parte 5","25","Línea temporal de notas","Superposición de notas altas, medias y base.","13_arquitectura_fragancias.pdf","45-51","visual reconstruido","parte-05-formulacion/modulo-25/01_originales/p05-m06-img01-linea-notas-original.svg","parte-05-formulacion/modulo-25/02_recortes/p05-m06-img01-linea-notas-recorte.svg","parte-05-formulacion/modulo-25/03_web/p05-m06-img01-linea-notas-web.svg","","Curvas de notas alta, media y base desde el inicio hasta una semana.","La fragancia cambia con el tiempo.","Identificar qué nota domina cada tramo.","Publicada","Duraciones reconstruidas desde la clasificación fuente.","2026-08-22"
"p05-m07-img01","5","Parte 5","26","Cuatro formatos","Perfume, brisa, popurrí y cosmético comparados por vehículo.","12_aromaterapia_sensorial.pdf","21-32,42-48,56-62","visual reconstruido","parte-05-formulacion/modulo-26/01_originales/p05-m07-img01-formatos-original.svg","parte-05-formulacion/modulo-26/02_recortes/p05-m07-img01-formatos-recorte.svg","parte-05-formulacion/modulo-26/03_web/p05-m07-img01-formatos-web.svg","","Cuatro tarjetas relacionan perfume, brisa, popurrí y cosmético con sus vehículos.","El formato define vehículo, cantidad y destino.","Relacionar cada formato con su base.","Publicada","Comparación reconstruida desde las preparaciones fuente.","2026-08-22"
"p05-m08-img01","5","Parte 5","27","Maniobras básicas","Secuencia de deslizamiento, amasamiento, fricción y pase.","14_tecnicas_masaje.pdf | 12_aromaterapia_sensorial.pdf","14:1-17 | 12:27","visual reconstruido","parte-05-formulacion/modulo-27/01_originales/p05-m08-img01-maniobras-original.svg","parte-05-formulacion/modulo-27/02_recortes/p05-m08-img01-maniobras-recorte.svg","parte-05-formulacion/modulo-27/03_web/p05-m08-img01-maniobras-web.svg","","Cuatro círculos describen deslizar, amasar, friccionar y realizar pases.","El contacto avanza desde gestos amplios hacia movimientos localizados.","Distinguir palma, toma de tejido, círculo y yemas.","Publicada","Secuencia reconstruida con maniobras seleccionadas.","2026-08-22"
"p05-m09-img01","5","Parte 5","28","Matriz de precauciones","Cruce entre aceite, persona, vía y entorno.","11_tipos_aceites.pdf | 12_aromaterapia_sensorial.pdf | 13_arquitectura_fragancias.pdf","11:52,58-62 | 12:39-40 | 13:1-63","visual reconstruido","parte-05-formulacion/modulo-28/01_originales/p05-m09-img01-matriz-precauciones-original.svg","parte-05-formulacion/modulo-28/02_recortes/p05-m09-img01-matriz-precauciones-recorte.svg","parte-05-formulacion/modulo-28/03_web/p05-m09-img01-matriz-precauciones-web.svg","","Cuatro campos cruzan aceite y concentración, persona y condiciones, vía y formato, sol y calor.","Una fórmula se revisa con datos de producto, persona, uso y entorno.","Recorrer los cuatro filtros antes de aprobar una fórmula.","Publicada","Matriz reconstructiva sin añadir contraindicaciones.","2026-08-22"
